ModelName;EpochBest;EpochsTotal;Sparse;Score
fashionmnist_:nodes_topk_0.2-0.2+edges_random_0.2-0.2:_no;16;20;nodes_topk_0.2-0.2+edges_random_0.2-0.2;0.903446
fashionmnist_:nodes_topk_0.2-0.2+edges_random_0.2-0.2:;16;20;nodes_topk_0.2-0.2+edges_random_0.2-0.2;0.894631
cifar10_loss_001_no;18;20;nodes_topk_0.0-0.6;0.660557
cifar10_loss_001;17;20;nodes_topk_0.0-0.6;0.641226
fashionmnist_:nodes_random_0.2-0.2+edges_random_0.2-0.2:_no;15;20;nodes_random_0.2-0.2+edges_random_0.2-0.2;0.902043
fashionmnist_:nodes_random_0.2-0.2+edges_random_0.2-0.2:;11;20;nodes_random_0.2-0.2+edges_random_0.2-0.2;0.552584
fashionmnist_:none:;9;20;none;0.901843
fashionmnist_:nodes_topk_0.3-0.3:_no;9;20;nodes_topk_0.3-0.3;0.901342
fashionmnist_:nodes_topk_0.3-0.3:;13;20;nodes_topk_0.3-0.3;0.898037
fashionmnist_:nodes_sample_0.3-0.3+edges_sample_0.3-0.3:_no;20;20;nodes_sample_0.3-0.3+edges_sample_0.3-0.3;0.898938
fashionmnist_:nodes_sample_0.3-0.3+edges_sample_0.3-0.3:;15;20;nodes_sample_0.3-0.3+edges_sample_0.3-0.3;0.648938
fashionmnist_:nodes_sample_0.3-0.3:_no;18;20;nodes_sample_0.3-0.3;0.900341
fashionmnist_:nodes_sample_0.3-0.3:;20;20;nodes_sample_0.3-0.3;0.763221
fashionmnist_:edges_random_0.0-0.3:_no;20;20;edges_random_0.0-0.3;0.904848
fashionmnist_:edges_random_0.0-0.3:;20;20;edges_random_0.0-0.3;0.902444
fashionmnist_:nodes_random_0.3-0.3:_no;20;20;nodes_random_0.3-0.3;0.903646
fashionmnist_:nodes_random_0.3-0.3:;6;20;nodes_random_0.3-0.3;0.464443
